"Export date: 2020. 5. 6. 오후 1:14:14","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Reviews","Rating","Rank","Seller type","Category","ASIN","Link"
"Search Term: Yogi tea","","1","Yogi Tea - Get Well Variety Pack Sampler (6 Pack) - 6 Teas for Cold and Flu Symptom Support - 96 Tea Bags","Yogi","$24.88","4755","128","$118304","109","5","2026","FBA","Grocery & Gourmet Food","B07WQFWGHV","https://www.amazon.com/Yogi-Tea-Variety-Sampler-Symptom/dp/B07WQFWGHV/ref=sr_1_2?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-2"
"Average Sales: 827","","2","YOGI TEA SAMPLER 24 FLAVORS (72 TEA BAGS)","Yogi","$30.99","505","19","$15650","173","4","14749","FBA","Grocery & Gourmet Food","B077Z6YRF6","https://www.amazon.com/YOGI-TEA-SAMPLER-FLAVORS-BAGS/dp/B077Z6YRF6/ref=sr_1_3?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-3"
"Average Sales Rank: 60,209","","3","Yogi Tea - Lemon Ginger (4 Pack) - Supports Healthy Digestion - 64 Tea Bags","Yogi","$15.36","1541","77","$23670","14","4.5","3767","FBA","Grocery & Gourmet Food","B07YGR8XCK","https://www.amazon.com/Yogi-Tea-Supports-Healthy-Digestion/dp/B07YGR8XCK/ref=sr_1_4?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-4"
"Average Price: $16.13","","4","Yogi Tea - Honey Lavender Stress Relief (6 Pack) - Soothing Serenity Blend - 96 Tea Bags","Yogi","$23.04","1136","45","$26173","190","5","6704","FBA","Grocery & Gourmet Food","B07B9LMD5Q","https://www.amazon.com/Yogi-Tea-Lavender-Soothing-Serenity/dp/B07B9LMD5Q/ref=sr_1_5?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-5"
"Average Reviews: 411","","5","Yogi Tea - Green Tea Super Antioxidant - Helps Reduce Free Radicals - 6 Pack 96 Tea Bags Total","Yogi","$23.04","1577","55","$36334","417","4.5","5431","FBA","Grocery & Gourmet Food","B0009F3SC8","https://www.amazon.com/Yogi-Tea-Antioxidant-Reduce-Radicals/dp/B0009F3SC8/ref=sr_1_6?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-6"
"","","6","Yogi Tea Cinnamon Vanilla Healthy Skin 16 Count","Yogi Tea","$5.57","1477","66","$8227","576","4.5","4435","AMZ","Grocery & Gourmet Food","B00BY6NN30","https://www.amazon.com/Yogi-Cinnamon-Vanilla-Healthy-Packaging/dp/B00BY6NN30/ref=sr_1_7?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-7"
"","","7","Yogi Tea - Echinacea Immune Support (6 Pack) - Supports Immune Function - 96 Tea Bags Total","Yogi","$23.04","1847","56","$42555","214","4.5","5342","FBA","Grocery & Gourmet Food","B0009F3SAU","https://www.amazon.com/Yogi-Tea-Echinacea-Supports-Function/dp/B0009F3SAU/ref=sr_1_8?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-8"
"","","8","Yogi Tea - Breathe Deep (6 Pack) - Supports Respiratory Health - 96 Tea Bags Total","Yogi","$23.04","2660","69","$61286","296","4.5","4224","FBA","Grocery & Gourmet Food","B000CMIYWC","https://www.amazon.com/Yogi-Tea-Breathe-Supports-Respiratory/dp/B000CMIYWC/ref=sr_1_9?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-9"
"","","9","Yogi Tea Chai Rooibos 16 Count","Yogi","$4.29","1924","59","$8254","271","4.5","5018","AMZ","Grocery & Gourmet Food","B0019LU5LS","https://www.amazon.com/Yogi-Herbal-Teas-Chai-Rooibos/dp/B0019LU5LS/ref=sr_1_10?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-10"
"","","10","Yogi Tea - Breathe Deep (4 Pack) - Supports Respiratory Health - 64 Tea Bags","Yogi","$15.36","396","18","$6083","13","5","15154","FBA","Grocery & Gourmet Food","B083TBG878","https://www.amazon.com/Yogi-Tea-Breathe-Supports-Respiratory/dp/B083TBG878/ref=sr_1_11?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-11"
"","","11","Yogi Tea - Yogi Favorites Variety Pack in Gift Box Packaging (6 Pack) - Includes 6 of the Most Popular Yogi Teas - 96 Tea Bags","Yogi","$25.88","425","34","$10999","35","5","8769","FBA","Grocery & Gourmet Food","B07WQFXC7Y","https://www.amazon.com/Yogi-Tea-Favorites-Variety-Packaging/dp/B07WQFXC7Y/ref=sr_1_12?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-12"
"","","12","Yogi Tea - Raspberry Passion Perfect Energy (4 Pack) - Energizes and Supports Focus - 64 Tea Bags","Yogi","$15.36","368","12","$5652","1","5","20645","FBA","Grocery & Gourmet Food","B083SSZ41L","https://www.amazon.com/Yogi-Tea-Raspberry-Energizes-Supports/dp/B083SSZ41L/ref=sr_1_13?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-13"
"","","13","Yogi Tea - Honey Chai Turmeric Vitality (6 Pack) - Sweet and Spicy Blend - 96 Tea Bags Total","Yogi","$23.04","1781","38","$41034","160","4.5","7860","FBA","Grocery & Gourmet Food","B07B9FG8WL","https://www.amazon.com/Yogi-Tea-Honey-Turmeric-Vitality/dp/B07B9FG8WL/ref=sr_1_14?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-14"
"","","14","Yogi Tea - Mango Ginger (4 Pack) - Supports Healthy Digestion - 64 Tea Bags","Yogi","$15.36","325","21","$4992","36","4.5","13599","FBA","Grocery & Gourmet Food","B07YGMVFYX","https://www.amazon.com/Yogi-Tea-Supports-Healthy-Digestion/dp/B07YGMVFYX/ref=sr_1_15?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-15"
"","","15","Yogi Tea - Bedtime - Supports a Good Night's Sleep - 6 Pack 96 Tea Bags Total","Yogi","$23.04","1784","68","$41103","805","4.5","4348","FBA","Grocery & Gourmet Food","B0009F3SA0","https://www.amazon.com/Yogi-Tea-Bedtime-Soothing-Spicy/dp/B0009F3SA0/ref=sr_1_16?dchild=1&keywords=Yogi+tea&qid=1588738362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-16"
